place,name,time,age,gender,bib_number
1,Tyler Young,26:10,18,M,901
2,Jake Martin,26:45,24,M,902
3,Madison Lee,27:20,19,F,903
4,Olivia Garcia,28:05,27,F,904
5,Steven Allen,28:40,34,M,905
6,John Doe,29:15,35,M,906
7,Helen Young,29:50,36,F,907
8,Chris Wilson,30:25,38,M,908
9,Sarah Williams,31:00,31,F,909
10,Lisa Moore,31:35,33,F,910
11,Mike Johnson,32:10,42,M,911
12,Tom Brown,32:45,45,M,912
13,Karen Hall,33:20,46,F,913
14,Mark Walker,33:55,48,M,914
15,Kevin King,34:30,55,M,915
16,Dorothy Wright,35:05,53,F,916
17,Robert Martinez,35:40,52,M,917
18,Patricia Rodriguez,36:15,54,F,918
19,James Hernandez,36:50,58,M,919
20,Jennifer Lopez,37:25,56,F,920
21,Linda Wilson,38:00,61,F,921
22,William Gonzalez,38:35,63,M,922
23,Brian Scott,39:10,64,M,923
24,Barbara Thomas,39:45,65,F,924
25,Charles Anderson,40:20,67,M,925
26,Carol Green,40:55,68,F,926
27,Joseph Taylor,41:30,72,M,927
28,George Adams,42:05,71,M,928
29,Susan Moore,42:40,74,F,929
30,Richard Jackson,43:15,76,M,930
31,Ruth Baker,43:50,77,F,931
32,Jessica White,44:25,78,F,932
33,Thomas Harris,45:00,82,M,933
34,Nancy Clark,45:35,84,F,934
35,Daniel Lewis,46:10,86,M,935
36,Betty Robinson,46:45,81,F,936
