place,name,time,age,gender,bib_number
1,Tyler Young,32:15,18,M,601
2,Jake Martin,33:42,24,M,602
3,Madison Lee,34:18,19,F,603
4,John Doe,35:05,35,M,604
5,Olivia Garcia,35:30,27,F,605
6,Chris Wilson,36:12,38,M,606
7,Sarah Williams,36:45,31,F,607
8,Robert Martinez,37:20,52,M,608
9,Lisa Moore,38:05,33,F,609
10,Patricia Rodriguez,38:40,54,F,610
11,Mark Walker,39:15,48,M,611
12,Karen Hall,39:50,46,F,612
13,James Hernandez,40:25,58,M,613
14,Jennifer Lopez,41:00,56,F,614
15,William Gonzalez,41:35,63,M,615
16,Linda Wilson,42:10,61,F,616
17,Charles Anderson,42:45,67,M,617
18,Barbara Thomas,43:20,65,F,618
19,Joseph Taylor,43:55,72,M,619
20,Susan Moore,44:30,74,F,620
