place,name,time,age,gender,bib_number
1,Jake Martin,18:05,24,M,701
2,Madison Lee,19:20,19,F,702
3,Tyler Young,19:35,18,M,703
4,Olivia Garcia,20:10,27,F,704
5,Steven Allen,20:45,34,M,705
6,Helen Young,21:15,36,F,706
7,Mike Johnson,21:40,42,M,707
8,Sarah Williams,22:05,31,F,708
9,Mark Walker,22:30,48,M,709
10,Karen Hall,22:55,46,F,710
11,Kevin King,23:20,55,M,711
12,Dorothy Wright,23:45,53,F,712
13,Robert Martinez,24:10,52,M,713
14,Patricia Rodriguez,24:35,54,F,714
15,Brian Scott,25:00,64,M,715
16,Carol Green,25:25,68,F,716
17,George Adams,25:50,71,M,717
18,Ruth Baker,26:15,77,F,718
19,Thomas Harris,26:40,82,M,719
20,Nancy Clark,27:05,84,F,720
